episode,north,south,east,west
1,0,0,0,0
2,0,0,0,0
3,0.10125,0,0,0
4,0.080771391,0.040273824,0.123703137,0.020503125
5,0.080771391,0.040273824,0.320226286,0.049709477
6,0.184487524,0.040273824,0.430204751,0.102482666
7,0.2858359,0.040273824,0.46209451,0.102482666
8,0.2858359,0.040273824,0.46209451,0.102482666
9,0.329992547,0.252100461,0.318112947,0.189217339
10,0.251638684,0.252100461,0.244760379,0.189217339
11,0.23905675,0.239495438,0.37650011,0.208053877
12,0.328910578,0.239495438,0.481597513,0.208053877
13,0.328910578,0.239495438,0.599153649,0.208053877
14,0.328910578,0.239495438,0.63126859,0.208053877
15,0.328910578,0.396553516,0.591946224,0.208053877
16,0.479355197,0.396553516,0.591946224,0.208053877
17,0.479355197,0.464652559,0.626966811,0.341290531
18,0.479355197,0.464652559,0.626966811,0.341290531
19,0.50770591,0.464652559,0.691472566,0.341290531
20,0.50770591,0.464652559,0.691472566,0.341290531
21,0.56501561,0.464652559,0.747889756,0.341290531
22,0.56501561,0.464652559,0.707214442,0.341290531
23,0.56501561,0.464652559,0.704523716,0.341290531
24,0.56501561,0.464652559,0.704523716,0.341290531
25,0.56501561,0.464652559,0.748159527,0.341290531
26,0.56501561,0.464652559,0.734223072,0.448664686
27,0.56501561,0.464652559,0.755123071,0.448664686
28,0.56501561,0.464652559,0.75518913,0.448664686
29,0.56501561,0.535192334,0.778347352,0.448664686
30,0.56501561,0.535192334,0.792050045,0.448664686
31,0.56501561,0.606197561,0.780161944,0.539619853
32,0.56501561,0.606197561,0.780161944,0.539619853
33,0.56501561,0.606197561,0.780161944,0.539619853
34,0.56501561,0.606197561,0.794948239,0.539619853
35,0.56501561,0.620570792,0.802407752,0.539619853
36,0.56501561,0.671368884,0.798022065,0.539619853
37,0.687491213,0.671368884,0.758120962,0.539619853
38,0.687491213,0.671368884,0.784052185,0.539619853
39,0.687491213,0.671368884,0.797021944,0.539619853
40,0.687491213,0.671368884,0.797021944,0.539619853
41,0.687491213,0.671368884,0.803509935,0.539619853
42,0.687491213,0.671368884,0.80675393,0.539619853
43,0.687491213,0.671368884,0.80675393,0.539619853
44,0.687491213,0.671368884,0.808376447,0.539619853
45,0.687491213,0.671368884,0.808376447,0.539619853
46,0.687491213,0.671368884,0.809188094,0.539619853
47,0.687491213,0.671368884,0.809188094,0.539619853
48,0.707880249,0.671368884,0.809594014,0.539619853
49,0.707880249,0.671368884,0.809796991,0.539619853
50,0.707880249,0.671368884,0.809898487,0.539619853
51,0.707880249,0.671368884,0.80994924,0.539619853
52,0.707880249,0.681937742,0.799862941,0.635816364
53,0.707880249,0.681937742,0.799862941,0.635816364
54,0.707880249,0.681937742,0.80493147,0.635816364
55,0.707880249,0.681937742,0.807465734,0.635816364
56,0.707880249,0.681937742,0.808732867,0.635816364
57,0.707880249,0.681937742,0.809366433,0.635816364
58,0.707880249,0.681937742,0.770226603,0.635816364
59,0.700542096,0.659073747,0.790113301,0.631523232
60,0.700542096,0.659073747,0.789931651,0.631523232
61,0.700542096,0.659073747,0.789931651,0.631523232
62,0.733984452,0.659073747,0.789931651,0.624144582
63,0.733984452,0.659073747,0.789322527,0.624144582
64,0.733984452,0.659073747,0.794339615,0.624144582
65,0.733984452,0.659073747,0.794339615,0.624144582
66,0.733984452,0.659073747,0.794339615,0.624144582
67,0.733984452,0.659073747,0.794339615,0.624144582
68,0.733984452,0.659073747,0.794339615,0.624144582
69,0.733984452,0.659073747,0.794339615,0.624144582
70,0.733984452,0.659073747,0.794339615,0.624144582
71,0.733984452,0.659073747,0.806022541,0.669525118
72,0.733984452,0.659073747,0.787839919,0.669525118
73,0.733984452,0.659073747,0.787839919,0.669525118
74,0.733984452,0.659073747,0.788790022,0.669525118
75,0.733984452,0.659073747,0.788790022,0.669525118
76,0.733984452,0.659073747,0.772206901,0.669525118
77,0.733984452,0.659073747,0.78736927,0.669525118
78,0.733984452,0.659073747,0.796817545,0.669525118
79,0.733984452,0.659073747,0.802475228,0.669525118
80,0.733984452,0.659073747,0.805770841,0.669525118
81,0.697285229,0.659073747,0.768370706,0.65088762
82,0.697285229,0.659073747,0.78906866,0.65088762
83,0.697285229,0.659073747,0.78906866,0.65088762
84,0.673341646,0.659073747,0.745498987,0.65088762
85,0.673341646,0.714779959,0.745498987,0.65088762
86,0.673341646,0.714779959,0.745498987,0.65088762
87,0.673341646,0.714779959,0.745498987,0.65088762
88,0.673341646,0.714779959,0.745498987,0.65088762
89,0.673341646,0.714779959,0.745498987,0.65088762
90,0.673341646,0.714779959,0.776530148,0.65088762
91,0.673341646,0.714779959,0.776530148,0.65088762
92,0.673341646,0.714779959,0.776530148,0.65088762
93,0.673341646,0.714779959,0.776530148,0.65088762
94,0.673341646,0.714779959,0.776530148,0.65088762
95,0.673341646,0.714779959,0.776530148,0.65088762
96,0.673341646,0.714779959,0.776530148,0.65088762
97,0.673341646,0.714779959,0.776530148,0.65088762
98,0.673341646,0.714779959,0.776530148,0.65088762
99,0.673341646,0.714779959,0.790697625,0.65088762
100,0.673341646,0.714779959,0.783272192,0.65088762